@relation _Users_mani_Courses_CS6604DigitalLibraries_Project_codeBase_mani_filesLargeDataSet

@attribute text string
@attribute @@class@@ {'Access control',Authorization,'Block and stream ciphers','Browser security','Cryptanalysis and other attacks','Data anonymization and sanitization','Database activity monitoring','Denial-of-service attacks','Digital rights management','Digital signatures','Distributed systems security','Domain-specific security and privacy architectures','Economics of security and privacy','Embedded systems security','File system security','Formal security models','Hardware reverse engineering','Hardware-based security protocols','Hash functions and message authentication codes','Information accountability and usage control','Information flow control','Information-theoretic techniques','Intrusion detection systems','Key management','Logic and verification','Malicious design modifications','Malware and its mitigation','Management and querying of encrypted data','Mathematical foundations of cryptography','Mobile and wireless security','Mobile platform security','Multi-factor authentication','Penetration testing','Privacy protections','Privacy-preserving protocols','Pseudonymity, anonymity and untraceability','Public key encryption','Security protocols','Security requirements','Side-channel analysis and countermeasures','Social aspects of security and privacy','Social network security and privacy','Software reverse engineering','Software security engineering','Spoofing attacks','Tamper-proof and tamper-resistant designs','Trust frameworks','Trusted computing','Usability in security and privacy','Virtualization and security','Vulnerability scanners','Web application security','Web protocol security'}

@data
'due to the ability to construct a large-scale sensing system by the cooperative behaviors of multiple sensor nodes, sensor networks are expected to be applied to many applications such as environmental monitoring. on the other hand, with the development of robotics technology in recent years, there has been many studies on sensors with a moving function (mobile sensors). in this paper, we propose an effective mobile sensor control method for sparse sensor networks. our method uses two types of sensor nodes, fixed node and mobile node. the data acquired by nodes are accumulated on a fixed node before transferred to the sink node. in addition, our method transfers the accumulated data efficiently by constructing the communication route of multiple mobile nodes between fixed nodes. we also conducted simulation experiments to evaluate the performance of our method.a mobile sensor control method for sparse sensor networks','Access control'
'in order to provide a general access control methodology for parts of xml documents, we propose combining role-based access control as found in the role graph model, with a methodology originally designed for object-oriented databases. we give a description of the methodology, showing how different access modes, xpath expressions and roles can be combined, and how propagation of permissions is handled. given this general approach, a system developer can design a complex authorization model for collections of xml documents.a role-based approach to access control for xml databases','Access control'
'access and use control using externally controlled reference monitors','Access control'
'we address the problem of defining access control policies that may be used in the evaluation of requests made by client actors, in the course of e-trading, to perform actions on the resources maintained by an e-collective. an e-collective is a group of agents that may act individually or in conjunction with other agents to satisfy a client\'s request to act. our principal contribution to this key problem is to define formally an access control model in terms of which policies may be specified for helping to ensure that only legitimate forms of client actions are performed in the course of engaging in e-trading. we call this model the action control model. in action control, the notion of intentional, empowered, authorized actions, that may be performed individualistically or jointly with other agents, and in a manner that is consistent with a group ethos, is the basis for specifying a set of permissives. a permissive is a generalization of the notion of a permission (as the latter term is usually interpreted in access control). in addition to the formal definition of the action control model, we give examples of action control policy specifications and we describe a candidate implementation and performance measures.access control by action control','Access control'
'many access control policy languages, e.g., xacml, allow a policy to contain multiple sub-policies, and the result of the policy on a request is determined by combining the results of the sub-policies according to some policy combining algorithms (pcas). existing access control policy languages, however, do not provide a formal language for specifying pcas. as a result, it is difficult to extend them with new pcas. while several formal policy combining algebras have been proposed, they did not address important practical issues such as policy evaluation errors and obligations; furthermore, they cannot express pcas that consider all sub-policies as a whole (e.g., weak majority or strong majority). we propose a policy combining language pcl, which can succinctly and precisely express a variety of pcas. pcl represents an advancement both in terms of theory and practice. it is based on automata theory and linear constraints, and is more expressive than existing approaches. we have implemented pcl and integrated it with sun\'s xacml implementation. with pcl, a policy evaluation engine only needs to understand pcl to evaluate any pca specified in it.access control policy combining','Access control'
'access control with role attribute certificates','Access control'
'access-control software','Access control'
'we introduce a generalization of role-based access control that we call the action-status access control (asac) model. the asac model addresses certain shortcomings with rbac models when applied in distributed computing contexts. the asac model is based on the notion of status, and a nonmonotonic theory of access control that is founded upon the notions of events, actions and times. the approach allows automatic changes to be made to policy requirements and agent authorizations that may be based, in part, on an agent\'s intentional behaviors.action-status access control','Access control'
'adaptive rate control, if properly employed, is an effective mechanism to sustain acceptable levels of quality of service (qos) in wireless networks where channel and traffic conditions vary over time. in this paper we present an adaptive rate (source and channel) control mechanism, developed as part of an adaptive resource allocation and management (aram) algorithm, for use in direct broadcast satellite (dbs) networks. the algorithm performs admission control and dynamically adjusts traffic source rate and forward error correction (fec) rate in a co-ordinated fashion to satisfy qos requirements. to analyze its performance, we have simulated the adaptive algorithm with varying traffic flows and channel conditions. the traffic flow is based on a variable bit rate (vbr) source model that represents motion picture expert group (mpeg) traffic fluctuations while the dbs channel model is based on a two-state additive white gaussian noise (awgn) channel. for measures of performance, the simulator quantifies throughput, frame loss due to congestion during transmission as well as qos variations due to channel (fec) and source (mpeg compression and data transmission) rate changes. to show the advantage of the adaptive fec mechanism, we also present the performance results when fixed fec rates are employed. the results indicate significant throughput and/or quality gains are possible when the fec/source pairs are adjusted properly in co-ordination with source rate changes.adaptive rate control and qos provisioning in direct broadcast satellite networks','Access control'
'this paper investigates the performance of tcp-friendly rate control (tfrc) to control the transmission rate of scalable video streams when used in a mobile network. the streams are encoded using the scalable video coding (svc) extension of the h.264/avc standard. adding or removing the layers is decided based on the tfrc during varying channel conditions of the mobile network. we conduct simulations in various realistic use cases, evaluate and compare the performance with and without tfrc-based adaptation. the results show significant improvements in terms of lower loss rate, delay, required buffer size and less playback interruption.adaptive video streaming over a mobile network with tcp-friendly rate control','Access control'
'priority based link-bandwidth partitioning is required to support wireless multimedia services, having diverse qos (delay, throughput) requirements, in mobile ad hoc networks with multimedia nodes. a new class of service disciplines, termed &#8220;batch and prioritize&#8221; or bp admission control (ac), is proposed. the bp algorithms use the delay tolerance of applications to batch requests in time slots. bandwidth assignment is made either at the end of the slot, or during the slot, on a priority basis. analytical and simulation models are developed to quantify the performance of the bp schemes. the results are compared with those obtained for a first-come-first-served (fcfs) service discipline. the class of bp schemes trade off the delay and loss tolerance of applications to improve the net carried traffic on the link. further, such schemes enable an easy implementation for adaptive prioritization, where the degree of precedence given to an application varies with offered load and the link capacity.admission control with priorities','Access control'
'this paper presents an approach for formally specifying and enforcing security policies on web service implementations. networked services in general, and web services in particular, require extensive amounts of code to ensure that clients respect site-integrity constraints. we provide a language by which these constraints can be expressed and enforced automatically, portably and efficiently. security policies in our system are specified in a language based on temporal logic, and are processed by an enforcement engine to yield site and platform-specific access control code. this code is integrated with a web server and platform-specific libraries to enforce the specified policy on a given web service. our approach decouples the security policy specification from service implementations, provides a mandatory access control model for web services, and achieves good performance. we show that up to 22\% of the code in a traditional web service module is dedicated to security checking functionality, including checks for client sequencing and parameter validation. we show that our prototype language implementation, webguard, enables web programmers to significantly reduce the amount of security checking code they need to develop manually. the quality of the code generated by webguard from formal policy specifications is competitive with the latency of handcrafted code to within a few percent.an access control language for web services','Access control'
'the link interference and multi-hop characters make wireless mesh network (wmn) performance can not be tuned well by local information. we propose an analytical flow control scheme (afcs) based on the optimal bandwidth allocation model that is specifically designed for the unique characteristics of wmn. the original contribution incorporated in a flow contention model of wmn based on maximal link interference region. with the contention constraint, the optimality of bandwidth allocation can be achieved by maximizing the aggregated utility across all flows. we then deduce a practical equation for adjusting sending rate from the bandwidth allocation model. based on the simplified analytical equation and the congestion notification message mechanism, we propose an equation-based flow control framework for real-time traffic in wmn. simulation results have shown the afcs can improve the capacity of the wmn by 40\% and alleviate the unfairness and delay jitter greatly. the fast response, fairness and steadiness characters of the afcs are helpful for rigorous real-time traffic and dynamic wireless network.an analytical flow control scheme for real-time traffic in wireless mesh network','Access control'
'congestion causes packet loss which in turn drastically decreases network performance and throughput. as sensors are energy constraint so it is a decisive task to detect congestion and perform congestion control. additionally, varieties of application have different requirement (i.e. delay, link utilization, and packet loss). in this paper we proposed an application priority based rate control algorithm to mitigate congestion in sensor network. this approach also maintains an interactive queue management scheme so that requirements of different application can be fulfilled. to ensure varieties application priority, concept of intra queue priority and inter queue priority are evolved. node priority based hop by hop rate adjustment is also proposed here to ensure high link utilization. finally experimental outputs have demonstrated the effectiveness of this task and show a noticeable performance in terms of energy analysis and throughput of the network.an approach for congestion control in sensor network using priority based application','Access control'
'this work presents a new approach for topology control (tc) in wireless sensor networks (wsn) devised for indoor scenarios with obstacles and no feedback mechanisms. the technique is supported by two novel metrics, namely blockage rate and useful area rate, applicable to environments with well-defined obstacles described by site specific propagation models. simulation results in some realistic scenarios showed that the technique allows to relate connectivity with transmission power levels and to identify critical transmission power levels. also, it is shown that the technique is equivalent to an approximated mean value in terms of connectivity aspects.an approach for wireless sensor networks topology control in indoor scenarios','Access control'
'the advent of emerging technologies such as web services, service-oriented architecture, and cloud computing has enabled us to perform business services more efficiently and effectively. however, we still suffer from unintended security leakages by unauthorized actions in business services while providing more convenient services to internet users through such a cutting-edge technological growth. furthermore, designing and managing web access control policies are often error-prone due to the lack of effective analysis mechanisms and tools. in this paper, we represent an innovative policy anomaly analysis approach for web access control policies. we focus on xacml (extensible access control markup language) policy since xacml has become the de facto standard for specifying and enforcing access control policies for various web-based applications and services. we introduce a policy-based segmentation technique to accurately identify policy anomalies and derive effective anomaly resolutions. we also discuss a proof-of-concept implementation of our method called xanalyzer and demonstrate how efficiently our approach can discover and resolve policy anomalies.anomaly discovery and resolution in web access control policies','Access control'
'we present blockrate, a wireless bitrate adaptation algorithm designed for blocks, or large contiguous units of transmitted data, as opposed to small packets. in contrast to state-of-the-art algorithms that can either have the amortization benefits of blocks or high responsiveness to underlying channel conditions of packets, blockrate has both. our evaluation shows that blockrate achieves up to 2.8&#215; goodput improvement in a variety of mobility scenarios.anticipatory wireless bitrate control for blocks','Access control'
'in ieee 802.11 wireless networks, the downlink delay rises as the number of voip nodes increases while the uplink delay remains small due to the same chance of media access between nodes and the access point (ap). this degrades the capacity and qos of voip significantly. therefore, we introduce adaptive priority control (apc) to balance the downlink and uplink delay of voip traffic at the mac layer, by giving to the ap a higher transmission priority, which is adaptively decided according to the uplink and downlink traffic volume. and, we verify through theoretical analysis that apc is an optimal method to balance the uplink and downlink delay.balancing uplink and downlink delay of voip traffic in wlans using adaptive priority control (apc)','Access control'
'ieee 802.11 wireless local area networks (wlans) technologies are being considered as potential turnkey solutions for constructing infrastructures of wireless mesh networks (wmns). with known experiments and simulation results, performances at the transport layer, including the transmission control protocol (tcp) and user datagram protocol (udp), have not been doing satisfactorily for connections passing through multiple hops using 802.11 technologies. data throughput usually drops significantly when a connection has to go through more than three wireless hops. since udp is a simple connectionless protocol, its performance failure indicates that the design of 802.11 medium access control (mac) protocol may not be competent to handle traffic on the wireless mesh networks. in this paper, a multi-radio multi-channel wireless mesh network architecture with a novel mac protocol design is proposed. the mac protocol extends the request-to-send/clear-to-send message pair in 802.11 for channel reservation operations. only two stations at an instant can have the sole possession of a specific channel with an announced duration. during this duration, the two stations can establish a connection for sending multiple segments to each other, if needed. this per-hop reservation concept can further be deployed into multi-hop wireless networks, and high throughput data rate should be achievable for multi-hop tcp and udp connections.channel control for multi-radio multi-channel wireless mesh networks','Access control'
'recently, the notion of the semantic web has been introduced to define a machine-interpretable web targeted for automation, integration and reuse of data across different applications. under the semantic web, web pages are annotated by concepts that are formally defined in ontologies along with the relationships among them. as information pertaining to different concepts has varying access control requirements, in this paper, we propose an access control model for the semantic web that is capable of specifying authorizations over concepts defined in ontologies and enoforcing them upon data instances annotated by the concepts. it is important to note that semantic relationships among concepts play a key role in making access control decisions. this is because, based on the relationship, one may infer information contained in one concept node from that of the other. therefore, we first identify the important domain-independent relationships among concepts, categorize them and propose propagation policies based on these categories of relationships. in particular, we allow propagation of authorizations based on the semantic relationships among concepts to prevent illegal inferences. we then show how concept-level security polices can be represented in an owl-based access control language. finally, we demonstrate how users\' requests can be handled under our access control model. our concept-level model is especially suitable for the specification and administration of access control over semantically related web data under the semantic web even if they conform to different dtds or use different tag names.concept-level access control for the semantic web','Access control'
'the ieee 802.11p standard specifies the phy and mac layer operations for transmitting and receiving periodic broadcast messages for vehicular safety. many studies have identified issues with the csma based ieee 802.11p mac at high densities of devices, mainly reflected by low packet reception rate. in this paper, we make an interesting observation that with increasing density, the ieee 802.11p mac tends towards an aloha-type behavior where concurrent transmissions by close-by devices are not prevented. this behavior can lead to poor packet reception rate even for vehicles in close neighborhood. many efforts have been made to address the ieee 802.11p mac issues to provide better performance for dsrc safety applications, including the introduction of decentralized congestion control (dcc) algorithm to etsi standards in europe. in this paper, we evaluate the performance of the proposed dcc algorithm and observe that the nominal parameters in dcc are unsuitable in many scenarios. using transmit power control as an example, we develop a simple rule within the dcc framework that can significantly improve the safety packet reception performance with increasing densities. the dcc algorithms are fully compatible with the ieee 802.11p standards and asynchronous in nature. a parallel approach to handle high device densities is a slotted synchronous mac, where time is slotted based on gps synchronization and each transmitter contends for a set of recurring time slots (or channels) with periodicity matching the required safety message periodicity. as compared to the per-packet based contention scheme as in csma defined in ieee 802.11, such a scheme is much better suited for periodic safety broadcast. in this paper, we design a standard compliant tdm overlay on top of the mac layer that can significantly improve the packet reception performance. combined with a distributed resource selection protocol, the synchronous mac can discover even more neighboring devices than the improved asynchronous approach, making dsrc safety applications more reliable.congestion control for vehicular safety','Access control'
'in this paper, we study the performance of utility maximization congestion control over multihop csma-based networks. we consider decoupled vs. joint design of congestion control and medium access and consider unmodified mac protocols such as ieee 802.11. networks employing such mac protocols incur flow starvation both without congestion control and with existing tcp-based congestion control. we develop a framework to study key issues in such networks that are not incorporated by prior models, yet are critical to the performance of congestion control algorithms. we study the role of data transmission capacity that is location dependent and, even more, unknown. we show that for the case of consistent channel state, a single globally optimal data transmission capacity does not exist. moreover, for the case of inconsistent channel state that arises due to the carrier sense mechanism itself, a data transmission capacity that provides convergence to perfectly fair rates does not exist, i.e., the congestion control algorithm converges to incorrect rates. we study the impact of inter-node collaboration within a contention region, and show that collaboration can alleviate these problems and ensure convergence to fair rates. finally, we compare the performance of congestion control in a collaborative network with the performance of tcp, and show that tcp starves some flows, whereas congestion control with collaboration removes starvation, provides significantly better fairness, and achieves 17\% higher aggregate throughput.congestion control in csma-based networks with inconsistent channel state','Access control'
'this paper looks at the problem of designing medium access algorithm for wireless networks with the objective of providing high throughput and low delay performance to the users, while requiring only a modest computational effort at the transmitters and receivers. additive inter-user interference at the receivers is an important physical layer characteristic of wireless networks. today\'s wi-fi networks are based upon the abstraction of physical layer where inter-user interference is considered as noise leading to the \'collision\' model in which users are required to co-ordinate their transmissions through carrier sensing multiple access (csma)-based schemes to avoid interference. this, in turn, leads to an inherent performance trade-off [1]: it is impossible to obtain high throughput and low delay by means of low complexity medium access algorithm (unless p=np). as the main result, we establish that this trade-off is primarily due to treating interference as noise in the current wireless architecture. concretely, we develop a simple medium access algorithm that allows for simultaneous transmissions of users to the same receiver by performing joint decoding at receivers, over time. for a receiver to be able to decode multiple transmissions quickly enough, we develop appropriate congestion control where each transmitter maintains a \"window\" of undecoded transmitted data that is adjusted based upon the \"feedback\" from the receiver. in summary, this provides an efficient, low complexity \"online\" code operating at varying rate, and the system as a whole experiences only small amount of delay (including decoding time) while operating at high throughput.congestion control meets medium access','Access control'
'recently, compound tcp has come to be regarded as the most promising transport layer protocol for high-speed and long-distance networks. in our previous work, we have shown that the loss-based congestion control mechanism performed by compound tcp does not achieve fairness in throughput. in order to solve this problem, we have proposed compound tcp+. this protocol decreases the loss window size when it is anticipated that a packet loss might occur, without an actual packet loss. using simple simulations, we have shown that compound tcp+ connections have high fairness in wireless lans. however, in our previous work, we have not examined the congestion control scheme of compound tcp+, and the performance of compound tcp+ has been evaluated only by means of simple simulations. in this paper, we evaluate the congestion control scheme of compound tcp+ in wireless lans. we consider three forms of the congestion control scheme, and show that a linear decrease in the loss window size is good when the network is not in a state of serious congestion that causes a packet loss. furthermore, we implement compound tcp+ on a linux kernel, and show its effectiveness by evaluating its performance in an experimental network environment.congestion control scheme of compound tcp+ in wireless lans','Access control'
'content-dependent access control, where the access decisions depend upon the value of an attribute of the object itself, is required in many applications. however problems arise in an object-based environment, because obtaining the value of an object\'s attribute requires an operation upon the object. we discuss the conceptual and performance implications of introducing content-dependent access control, and suggest how the problems can be avoided in some cases by using a domain-based approach to access control.content-dependent access control','Access control'
'accesses that are not permitted by implemented policy but that share similarities with accesses that have been allowed, may be indicative of access-control policy misconfigurations. identifying such misconfigurations allows administrators to resolve them before they interfere with the use of the system. we improve upon prior work in identifying such misconfigurations in two main ways. first, we develop a new methodology for evaluating misconfiguration prediction algorithms and applying them to real systems. we show that previous evaluations can substantially overestimate the benefits of using such algorithms in practice, owing to their tendency to reward predictions that can be deduced to be redundant. we also show, however, that these and other deductions can be harnessed to substantially recover the benefits of prediction. second, we propose an approach that significantly simplifies the use of misconfiguration prediction algorithms. we remove the need to hand-tune (and empirically determine the effects of) various parameters, and instead replace them with a single, intuitive tuning parameter. we show empirically that this approach is generally competitive in terms of benefit and accuracy with algorithms that require hand-tuned parameters.discovering access-control misconfigurations','Access control'
'it is well known that power control can help to improve spectrum utilization in cellular wireless systems. however, many existing distributed power control algorithms do not work well without an effective connection admission control (cac) mechanism, because they could diverge and result in dropping existing calls when an infeasible call is admitted. in this work, based on a system parameter defined as the discriminant, we propose two distributed cac algorithms for a power-controlled system. under these cac schemes, an infeasible call is rejected early, and incurs only a small disturbance to existing calls, while a feasible call is admitted and the system converges to the pareto optimal power assignment. simulation results demonstrate the performance of our algorithms.distributed admission control for power-controlled cellular wireless systems','Access control'
'in this paper, we study jointly the problems of rate control and contention resolution in multi-cell wlans based on the ieee 802.11 mac protocol in the presence of hidden terminals. we adopt the network utility maximization (num) framework to formulate the problem as a nonlinear optimization problem. unlike previous approaches that require maximal weight scheduling or target simple mac protocols without hidden terminals, our problem formulation considers a realistic ieee 802.11-based mac layer model. the resulting formulation being non-convex, we propose a simple scheme to transform this non-convex problem into a convex one. we derive a simple distributed algorithm to solve the problem via lagrangian dual decomposition. our algorithm does not require exchanges of topology or spatial information about the mobile clients between aps. practical issues like random backoff, carrier sensing, frame retransmission and optimal contention window (cw) setting are considered in our design. the effectiveness, accuracy and convergence speed of our analytically derived algorithm are verified via numerical experiments and simulations.distributed rate control and contention resolution in multi-cell ieee 802.11 wlans with hidden terminals','Access control'
'we investigate the cost of changing access control policies dynamically as a response action in computer network defense. we compare and contrast the use of access lists and capability lists in this regard, and develop a quantitative feel for the performance overheads and storage requirements. we also explore the issues related to preserving safety properties and trust assumptions during this process. we suggest augmentations to policy specifications that can guarantee these properties in spite of dynamic changes to system state. using the lessons learned from this exercise, we apply these techniques in the design of dynamic access controls for dynamic environments.dynamic access control','Access control'
'in this paper, we present a mandatory access control system that uses input from multiple stakeholders to compose policies based on runtime information. in the emerging open cell phone system environment, many devices run software whose access permissions depends on multiple stakeholders, such as the device owner, the service provider, the application owner, etc., rather than a single system administrator. however, current access control administration remains as either discretionary, allowing the running and perhaps compromised process to administer permissions, or mandatory, requiring a system administrator to know all permissions for all possible legal runs. a key problem is that users may download arbitrary programs to their devices, requiring that the system contain such programs while allowing some reasonable functionality. however, such programs may need access to permissions that in combination with other conflicting permissions may lead to an attack, such as allowing voice-over-ip calls. in our approach, we use a \"soft\" sand-boxing mechanism to first contain such processes, request the stakeholder to authorize operations outside the sandbox that are not prohibited by policy, and maintain a runtime execution role for the process to identify its access state to the stakeholders. we define a proxy policy server that caches and combines stakeholder policies to make such access decisions. our framework was implemented by modifying the selinux module and using a remote proxy policy server, although a local proxy policy server is also possible. we incur a 0.288 ts performance overhead only when stakeholders need to be consulted, and new permissions are cached.dynamic mandatory access control for multiple stakeholders','Access control'
